,adult,belongs_to_collection,collection_name,budget,genres,id,original_language,original_title,popularity,release_date,revenue,runtime,status,title,vote_average,vote_count,date_grp,cpi_index,cpi_current,inflation_rate,budget_diff,budget_adj,revenue_diff,revenue_adj,original_language_full
0,False,1066568,Terror Train Collection,0.0,Horror,1054624,en,Terror Train 2,9.43,2022-12-31,0.0,88,Released,Terror Train 2,4.0,1,22-Dec,296.797,296.797,0.0,0.0,0.0,0.0,0.0,English
2,False,579873,Major Grom Collection,0.0,Action,984317,ru,Гром: Трудное детство,3.33,2022-12-30,0.0,80,Released,Grom: Problem Childhood,8.0,3,22-Dec,296.797,296.797,0.0,0.0,0.0,0.0,0.0,Russian
6,False,1068305,Last to leave VC Collection,25000.0,Comedy,1068302,en,"Last to leave VC wins $25,000",1.61,2022-12-30,0.0,130,Released,"Last to leave VC wins $25,000",0.0,0,22-Dec,296.797,296.797,0.0,0.0,25000.0,0.0,0.0,English
7,False,990964,Kiljuset collection,0.0,Family,683379,fi,Kiljuset!,2.52,2022-12-28,0.0,83,Released,The Hullabaloos!,0.0,0,22-Dec,296.797,296.797,0.0,0.0,0.0,0.0,0.0,Finnish
9,False,120447,Naval Cadets Collection,4714285.0,Adventure,579845,ru,Гардемарины 1787. Мир,2.33,2022-12-26,0.0,120,Released,Midshipmen 1787. Peace,0.0,0,22-Dec,296.797,296.797,0.0,0.0,4714285.0,0.0,0.0,Russian
10,False,333154,The Anderssons Collection,0.0,Family,1055831,sv,Håkan Bråkan,1.99,2022-12-25,0.0,87,Released,Håkan Bråkan,0.0,0,22-Dec,296.797,296.797,0.0,0.0,0.0,0.0,0.0,Swedish
13,False,279715,Beck Collection,0.0,Crime,1037341,sv,Beck 47 - Dödsfällan,2.6,2022-12-25,0.0,90,Released,Beck 47 - Dödsfällan,6.0,6,22-Dec,296.797,296.797,0.0,0.0,0.0,0.0,0.0,Swedish
17,False,926177,Aldo Giovanni e Giacomo Collection,0.0,Comedy,919952,it,Il grande giorno,6.83,2022-12-22,0.0,90,Released,Il grande giorno,6.44,79,22-Dec,296.797,296.797,0.0,0.0,0.0,0.0,0.0,Italian
18,False,1049094,Cek Toko Sebelah - Collection,0.0,Comedy,1046232,id,Cek Toko Sebelah 2,4.4,2022-12-22,0.0,114,Released,Check the Store Next Door 2,9.25,2,22-Dec,296.797,296.797,0.0,0.0,0.0,0.0,0.0,Indonesian
21,False,245198,Feluda Collection,0.0,Mystery,987591,bn,হত্যাপুরী,8.74,2022-12-22,0.0,116,Released,Hatyapuri,0.0,0,22-Dec,296.797,296.797,0.0,0.0,0.0,0.0,0.0,"Bengali, Bangla"
